Anno,Codice Istat provincia,Provincia,Codice Istat comune,Comune,Tasso mortalita' anagrafica,Tasso natalita' anagrafica,Tasso iscrizione anagrafica,Tasso cancellazione anagrafica
2016,18,PV,18007,BAGNARIA,8.995502248875562,7.496251874062969,55.472263868065967,26.986506746626687
2015,16,BG,16065,CASTRO,9.516837481698389,7.320644216691069,38.799414348462665,51.244509516837482
2016,18,PV,18173,VELLEZZO BELLINI,6.715506715506716,7.326007326007326,56.471306471306471,43.04029304029304
2015,97,LC,97045,MALGRATE,10.069078562229247,7.024938531787847,33.485540334855403,50.345392811146236
2015,20,MN,20060,SCHIVENOGLIA,20.955574182732607,3.352891869237217,56.160938809723386,21.793797150041911
2015,16,BG,16057,CARVICO,8.81057268722467,7.736112603416783,33.093370581282905,30.944450413667132
2015,20,MN,20019,CERESARA,9.690644800596347,8.945210585165859,24.226612001490868,32.426388371226239
2016,14,SO,14005,ARDENNO,12.275586926499923,5.524014116924965,39.281878164799754,34.678533067362283
2015,19,CR,19006,BONEMERSE,5.230467473030402,9.153318077803204,30.075187969924812,32.036613272311213
2015,17,BS,17106,MARONE,10.747735298633502,7.369875633348687,25.487486565330877,33.471518501458621
2016,16,BG,16057,CARVICO,7.531740908112761,8.392511297611362,32.494082203572197,37.228319345814504
2016,17,BS,17122,OFFLAGA,9.943009579240936,7.76039772038317,30.314053595246756,33.224202740390445
2015,18,PV,18145,SAN ZENONE AL PO,16.722408026755853,13.377926421404682,65.217391304347826,68.561872909698997
2016,18,PV,18168,VALLE LOMELLINA,16.322829290410338,4.987531172069825,61.210609839038767,42.167309000226706
2015,13,CO,13189,PORLEZZA,11.656441717791411,8.588957055214724,45.398773006134969,42.331288343558282
2015,13,CO,13022,BEREGAZZO CON FIGLIARO,11.678832116788321,10.948905109489051,39.051094890510949,34.671532846715328
2016,19,CR,19114,VOLONGO,13.270142180094787,1.895734597156398,22.748815165876777,20.853080568720379
2015,13,CO,13035,CABIATE,8.210833002251357,10.462190438352536,31.651436895775394,33.373063170441001
2015,12,VA,12078,GORLA MAGGIORE,8.589692369157012,6.192568917299241,17.578905313623652,21.973631642029565
2015,14,SO,14019,CHIESA IN VALMALENCO,9.895111814763507,5.541262616267564,8.707698396991886,14.24896101325945
2015,16,BG,16020,BARIANO,9.39397410929087,10.081338068507275,21.766525375186161,32.764348722648642
2015,13,CO,13113,GRIANTE,14.263074484944532,6.339144215530903,41.204437400950872,39.619651347068146
2015,16,BG,16239,VILLA D'ALME',9.506833036244801,8.169934640522876,27.777777777777778,32.382650029708853
2016,17,BS,17015,BERLINGO,9.565857247976453,8.830022075055188,31.640912435614422,39.735099337748344
2016,97,LC,97002,AIRUNO,9.048199060379328,7.656168435705586,35.496780929180442,37.932834522359492
2015,97,LC,97058,OLGIATE MOLGORA,10.490879198308933,10.647459484850857,44.155640804822673,41.024035073984185
2016,98,LO,98002,BERTONICO,9.67032967032967,3.516483516483516,39.56043956043956,43.076923076923077
2015,14,SO,14026,DELEBIO,8.459971800094,14.413285289049037,45.433181889393702,41.673194422685258
2016,12,VA,12076,GERMIGNAGA,6.95338655678599,6.438320885912954,61.550347669327839,59.490084985835694
2015,19,CR,19095,SESTO ED UNITI,15.472055573097569,8.525418377012946,57.467634985790969,32.207136090937796
2016,16,BG,16070,CENE,11.437908496732026,8.636788048552754,32.679738562091503,37.348272642390289
2015,13,CO,13238,VENIANO,6.082108464267613,11.150532184490623,35.14107112687954,41.898969420510221
2016,13,CO,13242,VERTEMATE CON MINOPRIO,7.557289127254998,8.776206728425158,49.000487567040468,37.542662116040956
2016,14,SO,14002,ALBOSAGGIA,12.974375608173857,3.567953292247811,25.948751216347713,23.678235484917288
2015,19,CR,19038,CROTTA D'ADDA,12.102874432677761,9.077155824508321,22.692889561270802,31.770045385779123
2016,17,BS,17159,QUINZANO D'OGLIO,10.39002557544757,7.512787723785166,29.731457800511509,24.936061381074169
2016,17,BS,17182,SULZANO,5.715770329955833,8.833463237204469,49.363471031436737,44.686931670563783
2016,13,CO,13201,ROVELLASCA,8.494755132247892,10.425381298667868,36.681897161979535,26.900057918784993
2016,13,CO,13038,CAGNO,7.302823758519961,8.276533592989289,35.540408958130477,45.277507302823759
2016,19,CR,19030,CICOGNOLO,7.197943444730077,6.169665809768638,31.876606683804627,50.38560411311054
2016,12,VA,12093,LUVINATE,9.122006841505131,8.361839604713037,71.455720258456861,60.813378943367541
2015,97,LC,97067,PERLEDO,23.024594453165882,5.232862375719519,35.583464154892726,48.142333856619571
2016,20,MN,20030,MANTOVA,13.104848998254728,6.85861255983425,53.052184651813144,33.803161902040233
2015,16,BG,16094,ENTRATICO,4.603580562659847,7.672634271099744,22.506393861892583,33.759590792838875
2016,15,MI,15171,PESCHIERA BORROMEO,6.906548431105048,8.611869031377899,38.412346521145975,35.086971350613915
2016,13,CO,13131,LOCATE VARESINO,8.721597429423916,9.180628873077806,42.460408537984852,39.24718843240762
2016,20,MN,20027,GONZAGA,8.395573243199041,6.651038543313526,35.544894510167366,29.11192280433953
2015,97,LC,97027,CRANDOLA VALSASSINA,15.841584158415842,3.96039603960396,11.881188118811881,11.881188118811881
2015,16,BG,16220,TREVIOLO,6.855747558226897,8.827948910593539,32.682193839218633,28.268219383921863
2016,18,PV,18129,RONCARO,5.797101449275362,7.085346215780998,59.903381642512077,66.988727858293076
2016,18,PV,18033,CASEI GEROLA,9.62888665997994,6.820461384152457,32.497492477432297,35.707121364092277
2016,17,BS,17095,LOZIO,10.062893081761006,0,30.188679245283019,22.641509433962264
2016,12,VA,12018,BREGANO,6.988934187536401,12.813046010483401,53.581828771112405,51.252184041933605
2016,98,LO,98020,COMAZZO,3.5288928098809,11.468901632112925,54.697838553153948,42.346713718570798
2016,17,BS,17106,MARONE,9.306654257794323,9.306654257794323,19.543973941368078,28.540406390569257
2016,108,MB,108053,CORNATE D'ADDA,7.858913785844599,10.572110211909997,33.961734574542733,29.096692707115124
2016,16,BG,16087,COVO,7.190676915447558,7.934540044631788,37.689065212000992,42.400198363501116
2016,16,BG,16012,ARDESIO,8.561643835616438,7.705479452054795,13.41324200913242,20.547945205479452
2016,19,CR,19101,SPINEDA,14.766201804757998,6.562756357670221,27.891714520098441,24.610336341263331
2016,17,BS,17082,IDRO,6.634345496300077,7.144679765246236,21.944373564684869,29.089053329931105
2015,16,BG,16021,BARZANA,6.220839813374806,9.849663037843442,43.545878693623639,24.364955935717989
2015,17,BS,17175,SAVIORE DELL'ADAMELLO,17.344173441734417,4.336043360433604,18.428184281842818,19.51219512195122
2016,16,BG,16149,ONORE,4.595060310166571,11.487650775416427,37.90924755887421,34.462952326249282
2015,15,MI,15146,MILANO,10.74690105053809,8.596328148353004,33.619007933638613,24.986153590413141
2016,17,BS,17023,BOTTICINO,8.978058723833081,6.596124776693692,34.721267921762631,32.064495442261005
2016,18,PV,18156,TORRE BERETTI E CASTELLARO,3.561887800534283,3.561887800534283,16.028495102404274,35.618878005342832
2016,17,BS,17179,SIRMIONE,7.337654396477926,9.783539195303901,54.543231013819249,47.205576617341323
2016,18,PV,18169,VALLE SALIMBENE,13.995334888370543,3.998667110963012,41.319560146617794,45.318227257580806
2015,97,LC,97074,SANTA MARIA HOE',5.894355021537066,8.614826569938789,28.564951258218091,30.832010881886194
2015,13,CO,13043,CAPIAGO INTIMIANO,11.262066499821237,6.256703611011798,32.534858777261351,31.104755094744369
2015,16,BG,16240,VILLA DI SERIO,8.120300751879699,8.120300751879699,30.225563909774436,24.81203007518797
2015,15,MI,15159,OPERA,7.776162790697674,8.13953488372093,35.465116279069767,37.572674418604651
2015,19,CR,19096,SOLAROLO RAINERIO,13.429752066115702,11.363636363636364,41.322314049586777,59.917355371900826
2015,13,CO,13045,CARBONATE,8.894970920287376,6.158056790968183,43.448511802942183,28.395484091686623
2016,14,SO,14019,CHIESA IN VALMALENCO,9.980039920159681,6.387225548902196,11.976047904191617,15.568862275449102
2016,14,SO,14048,PIANTEDO,9.558823529411765,12.5,45.588235294117647,44.117647058823529
2015,19,CR,19040,DEROVERE,10.135135135135135,3.378378378378378,10.135135135135135,43.918918918918919
